Floor_Area,Floor_Number,ofPeople_service,ofPeople_living,ofPeople_bedroom,total_window_area,Cooling,Heating,Lighting
81.28,6.00,0.03,0.03,0.03,15.90,69.28,70.10,5.79
99.47,4.00,0.15,0.15,0.15,9.39,26.36,33.42,7.33
59.74,3.00,0.23,0.23,0.11,9.00,23.10,36.45,9.28
61.50,5.00,0.40,0.40,0.20,8.69,59.84,43.68,7.23
92.79,3.00,0.22,0.22,0.11,10.00,26.28,46.16,7.21
94.04,4.00,0.08,0.08,0.04,8.84,17.21,43.75,9.02
64.46,4.00,0.35,0.35,0.18,9.53,39.47,41.97,7.20
91.18,3.00,0.05,0.05,0.03,10.77,28.32,23.76,10.64
83.28,6.00,0.31,0.31,0.16,9.88,47.82,39.21,10.04
72.62,3.00,0.10,0.10,0.05,13.33,31.41,25.59,7.09
52.60,3.00,0.15,0.15,0.07,11.39,21.50,30.88,9.77
97.49,4.00,0.05,0.05,0.05,9.67,15.00,33.74,9.48
49.86,3.00,0.20,0.20,0.10,13.96,36.19,23.48,6.97
89.93,1.00,0.03,0.03,0.02,14.33,25.97,23.72,7.53
105.60,2.00,0.25,0.25,0.12,11.39,18.39,31.46,9.98
61.67,6.00,0.13,0.13,0.13,10.41,33.73,58.98,8.61
98.84,2.00,0.05,0.05,0.02,11.35,16.59,31.49,11.07
67.59,3.00,0.16,0.16,0.16,11.61,31.14,27.46,5.89
131.98,5.00,0.12,0.12,0.12,10.46,34.48,30.27,7.37
95.77,3.00,0.31,0.31,0.15,9.98,29.24,28.52,12.56
50.33,3.00,0.04,0.04,0.02,12.99,32.87,36.53,7.34
50.17,4.00,0.21,0.21,0.21,14.91,30.42,34.81,7.39
54.01,2.00,0.04,0.04,0.04,11.81,34.95,42.77,7.47
71.42,2.00,0.07,0.07,0.07,11.61,10.05,13.54,9.75
104.48,2.00,0.04,0.04,0.02,12.82,16.19,23.19,10.49
95.65,4.00,0.19,0.19,0.10,9.60,46.08,37.73,7.64
123.16,5.00,0.16,0.16,0.16,11.81,35.14,37.73,5.87
50.95,1.00,0.07,0.07,0.03,9.23,18.61,40.02,9.58
59.26,5.00,0.04,0.04,0.02,11.74,24.35,32.99,7.04
93.31,5.00,0.10,0.10,0.05,13.33,35.05,26.43,8.31
95.96,4.00,0.23,0.23,0.11,15.89,28.40,36.82,9.98
94.66,4.00,0.07,0.07,0.07,10.86,14.85,14.18,8.53
126.49,4.00,0.06,0.06,0.06,8.81,41.64,30.20,5.89
123.70,5.00,0.19,0.19,0.09,10.00,42.40,50.12,7.09
56.16,4.00,0.05,0.05,0.05,9.79,34.73,43.06,6.92
123.70,1.00,0.08,0.08,0.04,14.74,23.33,21.88,10.52
58.89,1.00,0.04,0.04,0.04,11.62,9.77,29.33,9.74
50.87,3.00,0.20,0.20,0.10,9.45,20.66,35.42,12.85
51.49,1.00,0.23,0.23,0.11,11.26,27.58,26.63,9.41
64.16,5.00,0.06,0.06,0.06,12.49,22.51,23.40,6.74
63.48,4.00,0.03,0.03,0.01,15.47,35.20,22.09,7.20
87.68,4.00,0.09,0.09,0.09,12.29,13.17,23.27,9.12
63.06,1.00,0.09,0.09,0.04,16.36,15.05,22.91,10.02
76.55,2.00,0.23,0.23,0.12,11.13,30.04,20.81,8.12
52.14,2.00,0.30,0.30,0.15,9.92,33.46,35.49,8.60
64.70,3.00,0.22,0.22,0.11,9.04,32.69,38.14,8.68
66.57,6.00,0.24,0.24,0.24,9.42,68.60,58.91,5.85
86.40,2.00,0.05,0.05,0.05,9.88,37.35,29.72,5.82
61.26,4.00,0.24,0.24,0.12,10.90,23.45,30.12,10.00
57.12,3.00,0.04,0.04,0.02,12.62,24.84,29.37,8.27
97.61,5.00,0.04,0.04,0.04,10.94,36.57,38.79,5.89
67.78,6.00,0.04,0.04,0.02,11.95,38.63,36.75,7.37
60.11,3.00,0.11,0.11,0.11,14.39,10.60,21.97,9.76
67.97,6.00,0.14,0.14,0.07,11.33,50.33,41.13,6.98
75.93,3.00,0.08,0.08,0.08,10.18,31.88,29.89,6.69
99.21,1.00,0.06,0.06,0.03,10.00,15.35,30.73,12.43
60.85,4.00,0.05,0.05,0.03,11.15,21.60,32.35,8.22
80.59,3.00,0.02,0.02,0.02,13.68,17.72,23.48,9.39
62.42,3.00,0.25,0.25,0.12,11.15,33.02,35.42,7.09
91.61,1.00,0.05,0.05,0.02,11.62,39.90,29.86,10.85
84.38,2.00,0.25,0.25,0.25,9.47,19.79,30.15,6.27
150.50,2.00,0.17,0.17,0.17,8.84,12.47,34.00,9.57
99.21,5.00,0.03,0.03,0.03,16.85,36.45,59.00,7.84
49.56,3.00,0.23,0.23,0.23,9.93,21.16,28.71,6.65
60.88,4.00,0.07,0.07,0.04,12.82,22.30,17.88,9.09
78.82,5.00,0.06,0.06,0.03,15.43,40.28,47.96,9.12
55.07,3.00,0.05,0.05,0.03,14.98,14.15,11.28,7.70
112.35,2.00,0.08,0.08,0.04,15.22,26.29,26.28,7.14
88.31,3.00,0.22,0.22,0.11,8.90,21.87,35.89,7.92
64.73,6.00,0.14,0.14,0.07,11.41,66.48,62.32,7.08
150.16,2.00,0.10,0.10,0.10,11.95,16.54,25.94,6.93
62.42,2.00,0.25,0.25,0.25,9.67,13.10,31.14,9.73
108.68,2.00,0.08,0.08,0.04,8.60,58.59,54.94,7.00
110.90,5.00,0.05,0.05,0.02,11.27,55.83,40.60,7.11
57.88,4.00,0.11,0.11,0.11,14.15,11.26,21.08,9.32
61.50,3.00,0.16,0.16,0.08,10.67,29.93,25.72,7.50
62.52,6.00,0.07,0.07,0.03,9.45,64.54,60.99,6.99
62.50,3.00,0.07,0.07,0.04,9.09,41.79,39.43,7.07
93.76,4.00,0.08,0.08,0.04,12.69,13.36,18.53,9.44
124.84,5.00,0.11,0.11,0.11,11.13,18.23,32.72,9.41
97.98,5.00,0.20,0.20,0.20,10.50,29.06,34.72,8.14
76.46,3.00,0.04,0.04,0.02,12.46,38.18,25.64,7.30
77.62,3.00,0.11,0.11,0.06,12.51,20.23,28.54,9.86
129.87,5.00,0.14,0.14,0.14,9.92,18.23,28.85,9.20
65.80,5.00,0.06,0.06,0.06,9.04,55.42,48.16,5.92
91.61,2.00,0.30,0.30,0.30,8.67,24.09,31.61,6.05
62.29,4.00,0.04,0.04,0.04,10.62,23.45,29.03,5.94
98.84,1.00,0.25,0.25,0.25,9.54,13.51,30.36,9.43
51.64,1.00,0.04,0.04,0.04,10.18,17.87,29.41,8.98
123.16,2.00,0.04,0.04,0.02,13.48,36.86,27.78,10.89
79.34,2.00,0.15,0.15,0.08,10.73,50.50,25.50,7.95
172.66,4.00,0.13,0.13,0.06,11.77,25.04,23.69,6.99
48.75,4.00,0.03,0.03,0.03,16.57,32.64,38.67,6.53
52.00,4.00,0.04,0.04,0.04,14.52,26.62,42.15,6.03
58.05,5.00,0.06,0.06,0.06,8.53,47.43,53.95,5.87
50.30,6.00,0.25,0.25,0.13,16.19,55.85,49.73,6.86
72.02,1.00,0.06,0.06,0.03,14.52,33.31,40.01,7.34
60.85,6.00,0.03,0.03,0.02,14.15,38.29,36.61,7.23
72.74,2.00,0.04,0.04,0.02,12.85,29.17,24.40,10.90
72.78,1.00,0.06,0.06,0.03,9.90,63.89,34.51,6.97
93.41,5.00,0.06,0.06,0.03,9.71,51.63,49.83,7.03
87.18,3.00,0.04,0.04,0.02,16.72,29.35,30.46,7.76
160.44,1.00,0.12,0.12,0.12,13.33,24.88,20.95,7.91
52.60,4.00,0.16,0.16,0.16,9.03,15.84,29.92,9.13
51.00,4.00,0.05,0.05,0.03,10.84,52.23,48.60,6.97
71.73,5.00,0.04,0.04,0.04,14.77,48.72,71.56,5.87
88.13,2.00,0.20,0.20,0.20,10.45,14.75,27.17,8.67
121.52,4.00,0.20,0.20,0.10,9.63,32.95,42.99,7.62
180.83,1.00,0.19,0.19,0.10,12.46,27.48,30.65,7.09
71.73,1.00,0.12,0.12,0.12,10.61,14.98,26.79,9.18
149.82,5.00,0.23,0.23,0.23,9.79,46.07,50.97,6.25
72.27,2.00,0.05,0.05,0.05,9.55,12.02,32.64,9.72
180.04,2.00,0.05,0.05,0.05,9.98,20.96,38.44,6.24
83.60,5.00,0.06,0.06,0.03,14.27,46.54,42.95,6.90
51.00,2.00,0.08,0.08,0.04,8.75,21.66,43.36,7.24
85.20,6.00,0.27,0.27,0.13,10.40,46.93,39.68,7.00
81.13,4.00,0.10,0.10,0.05,13.68,35.56,19.19,7.08
66.63,1.00,0.04,0.04,0.04,10.71,12.23,31.30,7.43
126.49,2.00,0.36,0.36,0.18,9.40,33.75,36.01,7.08
87.43,4.00,0.31,0.31,0.15,9.79,24.77,27.25,8.57
63.71,3.00,0.15,0.15,0.15,9.75,57.32,43.29,5.78
65.80,3.00,0.05,0.05,0.02,16.08,35.52,47.92,7.02
57.88,1.00,0.07,0.07,0.04,10.38,30.12,31.16,7.02
58.18,3.00,0.11,0.11,0.05,15.12,31.53,23.11,7.00
89.13,5.00,0.36,0.36,0.18,9.06,50.43,43.71,7.06
66.84,1.00,0.02,0.02,0.02,14.38,23.66,23.66,5.93
92.99,2.00,0.06,0.06,0.03,10.01,20.26,28.67,8.99
89.13,6.00,0.03,0.03,0.03,12.46,27.35,33.35,8.47
63.44,4.00,0.05,0.05,0.02,15.75,31.16,45.99,7.29
75.85,2.00,0.07,0.07,0.03,9.54,60.38,32.33,6.99
74.95,4.00,0.19,0.19,0.19,11.23,32.77,23.47,5.90
74.55,5.00,0.30,0.30,0.30,8.53,43.82,44.69,5.92
60.70,6.00,0.10,0.10,0.10,11.77,37.61,35.76,5.83
65.27,5.00,0.18,0.18,0.09,13.48,43.26,35.60,7.11
63.38,4.00,0.16,0.16,0.08,8.75,25.06,16.70,12.13
51.21,1.00,0.24,0.24,0.12,11.41,47.96,27.32,7.10
50.40,2.00,0.07,0.07,0.03,9.66,41.79,32.73,7.20
88.04,5.00,0.08,0.08,0.04,8.84,43.83,47.98,9.49
51.00,3.00,0.04,0.04,0.02,12.79,24.08,33.79,7.34
79.22,1.00,0.09,0.09,0.09,14.03,32.12,43.43,8.45
93.41,1.00,0.08,0.08,0.04,8.94,35.18,38.24,7.01
103.41,2.00,0.07,0.07,0.03,9.94,30.80,38.79,8.15
150.50,1.00,0.17,0.17,0.09,10.06,15.94,33.62,13.18
93.30,4.00,0.05,0.05,0.03,15.54,33.35,37.90,7.57
95.96,6.00,0.33,0.33,0.17,9.39,66.33,60.17,6.99
112.07,2.00,0.22,0.22,0.11,11.79,16.20,28.83,9.56
93.76,2.00,0.11,0.11,0.06,12.79,19.14,23.05,7.23
66.40,6.00,0.27,0.27,0.13,10.45,48.41,34.42,7.47
103.41,5.00,0.12,0.12,0.12,15.33,55.82,49.77,5.85
95.35,3.00,0.04,0.04,0.02,16.85,29.98,38.73,8.69
52.24,4.00,0.26,0.26,0.13,10.62,32.11,26.93,7.12
123.16,5.00,0.05,0.05,0.05,9.43,36.50,41.89,5.91
93.08,5.00,0.18,0.18,0.18,8.60,46.50,41.86,5.83
73.15,5.00,0.21,0.21,0.11,11.96,36.26,35.78,7.27
50.64,3.00,0.16,0.16,0.16,10.01,52.74,57.73,5.89
61.67,2.00,0.05,0.05,0.05,9.84,21.26,29.13,8.94
104.09,5.00,0.04,0.04,0.04,11.28,34.74,32.08,6.84
58.13,3.00,0.38,0.38,0.19,8.85,22.96,38.68,7.58
61.50,3.00,0.27,0.27,0.14,10.35,22.57,31.46,8.78
63.14,1.00,0.06,0.06,0.06,12.12,30.06,22.57,6.22
83.49,5.00,0.16,0.16,0.08,11.04,57.37,42.67,7.83
87.43,6.00,0.21,0.21,0.11,11.77,59.22,35.92,7.02
50.30,4.00,0.13,0.13,0.13,10.08,18.87,30.78,9.50
83.27,2.00,0.05,0.05,0.05,9.59,27.47,29.09,6.77
184.48,2.00,0.24,0.24,0.12,9.31,33.86,39.97,7.26
84.12,6.00,0.04,0.04,0.04,10.87,52.80,37.82,5.83
114.54,3.00,0.04,0.04,0.04,10.70,46.40,43.06,5.85
112.35,1.00,0.29,0.29,0.29,9.66,51.42,30.11,5.96
91.27,3.00,0.08,0.08,0.04,14.78,17.77,19.04,8.93
89.13,1.00,0.21,0.21,0.11,13.22,36.65,41.99,7.01
54.80,4.00,0.07,0.07,0.04,9.68,35.87,36.85,7.13
52.85,5.00,0.21,0.21,0.21,16.82,55.83,56.40,5.85
92.55,2.00,0.31,0.31,0.16,10.26,24.33,28.68,10.42
136.64,5.00,0.17,0.17,0.08,10.41,30.26,29.35,10.02
50.87,1.00,0.27,0.27,0.13,10.45,28.58,25.21,8.71
119.19,6.00,0.38,0.38,0.19,8.82,78.48,62.29,6.98
123.16,3.00,0.05,0.05,0.05,9.43,20.78,33.38,5.98
86.57,3.00,0.35,0.35,0.17,12.88,38.54,37.96,7.79
48.63,6.00,0.19,0.19,0.10,9.60,44.83,44.56,7.09
103.32,4.00,0.06,0.06,0.03,9.79,52.07,56.88,6.84
110.90,3.00,0.05,0.05,0.05,9.84,17.18,31.99,8.42
58.13,4.00,0.06,0.06,0.03,9.62,45.36,40.91,8.45
67.02,6.00,0.39,0.39,0.20,9.05,66.31,51.60,8.63
131.37,1.00,0.19,0.19,0.10,9.69,21.26,38.67,9.52
51.53,4.00,0.38,0.38,0.19,8.82,24.61,26.29,11.38
121.52,6.00,0.16,0.16,0.08,13.72,42.08,28.06,7.09
107.84,1.00,0.17,0.17,0.17,8.89,12.72,33.75,9.78
69.73,2.00,0.06,0.06,0.03,9.87,47.23,49.31,6.97
160.44,4.00,0.11,0.11,0.06,10.48,48.58,61.08,7.06
69.99,3.00,0.06,0.06,0.06,8.65,20.18,34.80,6.10
93.41,1.00,0.21,0.21,0.21,10.21,23.15,24.33,5.99
83.57,3.00,0.05,0.05,0.03,17.00,26.29,47.02,8.56
127.95,1.00,0.13,0.13,0.06,16.72,37.07,33.79,7.21
61.68,6.00,0.04,0.04,0.04,14.70,55.11,52.50,5.82
77.88,4.00,0.07,0.07,0.03,9.72,27.95,28.75,9.40
57.57,2.00,0.17,0.17,0.08,8.62,22.22,27.04,9.23
54.14,3.00,0.06,0.06,0.03,9.88,18.26,36.14,8.59
79.85,2.00,0.03,0.03,0.01,14.74,17.03,25.95,12.03
93.41,5.00,0.06,0.06,0.03,9.81,36.87,36.18,9.96
112.06,2.00,0.06,0.06,0.03,9.69,14.92,37.19,11.73
72.65,1.00,0.02,0.02,0.02,13.35,16.47,24.38,9.34
93.33,4.00,0.23,0.23,0.12,8.87,50.28,47.61,7.36
96.46,5.00,0.04,0.04,0.02,11.68,23.33,27.97,7.34
73.13,6.00,0.07,0.07,0.03,10.37,48.59,43.71,7.04
47.32,4.00,0.06,0.06,0.03,9.78,25.24,29.86,7.11
71.03,6.00,0.08,0.08,0.04,8.80,39.43,50.49,6.90
55.98,5.00,0.06,0.06,0.03,9.84,49.98,40.60,7.82
60.88,3.00,0.03,0.03,0.02,13.72,30.94,25.80,7.02
52.14,2.00,0.30,0.30,0.15,9.84,24.32,31.60,7.42
119.19,5.00,0.03,0.03,0.03,12.85,38.31,38.04,5.79
90.50,2.00,0.12,0.12,0.12,8.85,10.76,18.59,9.87
81.28,5.00,0.04,0.04,0.02,12.85,46.15,40.98,7.01
76.73,3.00,0.03,0.03,0.01,15.22,13.83,21.19,10.26
85.19,1.00,0.12,0.12,0.12,11.29,16.22,28.97,9.48
61.05,2.00,0.05,0.05,0.05,13.44,17.87,13.74,7.87
92.79,3.00,0.23,0.23,0.11,8.84,37.04,36.82,11.22
77.71,5.00,0.31,0.31,0.16,9.69,32.37,28.69,10.27
75.45,3.00,0.21,0.21,0.21,12.10,19.86,58.44,7.48
100.48,1.00,0.06,0.06,0.03,15.84,24.25,15.00,7.66
96.16,4.00,0.05,0.05,0.05,9.69,23.31,33.39,6.23
56.44,3.00,0.04,0.04,0.02,12.29,31.26,21.75,9.13
78.03,4.00,0.03,0.03,0.02,13.60,19.04,26.01,12.55
84.38,1.00,0.03,0.03,0.03,11.62,28.98,25.59,5.89
50.87,5.00,0.05,0.05,0.03,10.61,44.46,39.33,7.63
63.83,4.00,0.04,0.04,0.02,12.12,20.00,30.68,9.23
72.21,3.00,0.02,0.02,0.02,14.78,16.50,13.91,8.16
72.62,2.00,0.40,0.40,0.20,8.53,29.02,26.25,11.97
155.43,2.00,0.08,0.08,0.04,9.14,25.66,38.80,11.74
96.76,2.00,0.36,0.36,0.18,8.98,31.22,32.09,7.87
87.16,6.00,0.04,0.04,0.04,14.96,27.05,21.20,5.88
96.92,1.00,0.35,0.35,0.17,12.88,35.88,33.22,9.02
124.73,2.00,0.29,0.29,0.15,10.03,19.68,31.83,10.57
83.58,3.00,0.06,0.06,0.03,14.52,23.34,48.20,8.20
57.90,4.00,0.20,0.20,0.10,9.42,22.34,32.57,11.25
70.22,5.00,0.04,0.04,0.04,11.24,29.94,36.59,5.96
60.11,5.00,0.06,0.06,0.03,10.21,56.16,52.64,7.04
86.05,1.00,0.11,0.11,0.06,12.69,15.35,26.18,10.04
87.85,3.00,0.04,0.04,0.02,12.51,41.60,27.46,7.05
54.55,5.00,0.04,0.04,0.04,11.62,56.64,50.88,5.88
98.84,2.00,0.03,0.03,0.03,17.70,34.99,47.57,6.58
104.80,1.00,0.06,0.06,0.03,9.70,19.93,36.23,9.47
61.68,3.00,0.17,0.17,0.08,8.62,21.20,29.14,9.10
152.41,2.00,0.15,0.15,0.08,10.79,41.48,33.15,7.34
150.70,2.00,0.29,0.29,0.14,10.06,23.11,25.39,7.26
88.04,5.00,0.13,0.13,0.07,14.78,38.11,33.83,7.23
55.30,3.00,0.24,0.24,0.12,8.53,32.21,42.55,7.48
80.01,2.00,0.05,0.05,0.05,9.02,40.64,40.28,6.70
103.32,1.00,0.26,0.26,0.13,11.29,17.99,28.33,12.76
115.89,3.00,0.12,0.12,0.12,10.58,14.73,27.15,8.73
76.42,5.00,0.19,0.19,0.19,8.62,36.43,48.19,7.17
57.57,5.00,0.06,0.06,0.06,9.34,37.24,44.90,8.27
84.38,2.00,0.04,0.04,0.04,10.20,20.09,29.33,9.33
75.04,2.00,0.11,0.11,0.11,14.15,10.12,21.97,9.43
58.89,2.00,0.14,0.14,0.07,11.18,27.26,29.49,9.03
67.28,5.00,0.06,0.06,0.03,9.49,41.42,26.81,7.01
55.30,3.00,0.05,0.05,0.02,11.48,19.59,25.68,8.44
158.24,2.00,0.03,0.03,0.02,13.02,27.16,26.25,7.14
89.08,6.00,0.03,0.03,0.03,11.92,36.07,47.96,6.71
52.17,5.00,0.08,0.08,0.04,8.61,40.84,47.90,7.04
65.25,4.00,0.16,0.16,0.08,13.35,21.15,24.64,7.39
152.41,6.00,0.08,0.08,0.04,9.30,78.95,52.11,6.99
77.71,1.00,0.12,0.12,0.12,13.44,19.80,15.03,7.84
92.20,3.00,0.07,0.07,0.04,10.00,32.96,49.20,7.19
107.84,5.00,0.05,0.05,0.02,10.90,39.53,38.75,7.41
67.40,6.00,0.22,0.22,0.11,11.33,44.49,36.31,7.55
54.61,4.00,0.22,0.22,0.22,10.01,21.20,22.97,7.58
82.36,2.00,0.03,0.03,0.03,12.68,15.43,26.01,6.20
131.37,3.00,0.06,0.06,0.06,9.09,25.87,34.48,8.01
86.26,1.00,0.04,0.04,0.04,11.13,23.84,25.09,6.65
51.63,4.00,0.05,0.05,0.03,10.75,27.09,25.63,11.25
81.51,4.00,0.03,0.03,0.02,13.87,14.31,21.89,7.96
94.04,2.00,0.18,0.18,0.09,15.12,27.69,28.78,7.24
102.00,4.00,0.04,0.04,0.04,10.24,38.35,38.28,5.90
97.98,2.00,0.15,0.15,0.08,16.12,31.09,34.10,7.58
93.31,3.00,0.19,0.19,0.10,9.84,27.48,25.94,10.59
86.60,3.00,0.20,0.20,0.10,9.63,27.40,35.52,8.51
105.15,4.00,0.13,0.13,0.13,14.94,20.87,27.81,6.00
62.50,1.00,0.15,0.15,0.15,9.42,34.20,20.45,6.71
76.42,3.00,0.04,0.04,0.02,11.95,45.20,31.73,7.19
91.61,5.00,0.36,0.36,0.18,9.00,43.71,38.94,10.23
91.27,1.00,0.07,0.07,0.04,9.34,22.05,31.62,7.92
74.70,4.00,0.33,0.33,0.33,11.69,40.18,65.33,7.49
61.47,3.00,0.10,0.10,0.05,13.64,30.80,25.09,8.24
76.46,1.00,0.12,0.12,0.12,13.65,13.45,21.53,6.78
128.30,1.00,0.05,0.05,0.02,11.27,15.91,31.04,10.35
88.04,5.00,0.08,0.08,0.04,8.65,47.88,40.77,9.40
95.68,2.00,0.19,0.19,0.10,12.29,19.20,27.40,10.71
79.34,3.00,0.13,0.13,0.07,11.36,30.75,26.55,7.12
79.08,1.00,0.03,0.03,0.03,14.94,31.17,26.63,5.95
97.85,4.00,0.05,0.05,0.02,11.20,40.31,29.45,8.81
72.89,3.00,0.14,0.14,0.14,12.29,26.81,25.34,5.92
75.85,6.00,0.12,0.12,0.06,14.27,59.43,96.75,6.90
65.27,1.00,0.04,0.04,0.02,12.82,18.77,28.99,10.61
79.60,5.00,0.05,0.05,0.03,10.46,41.93,40.09,11.42
114.54,2.00,0.12,0.12,0.06,12.29,18.34,23.55,10.20
144.56,1.00,0.24,0.24,0.12,9.31,24.74,27.51,11.62
50.95,1.00,0.06,0.06,0.06,8.81,18.63,33.82,6.51
70.22,5.00,0.04,0.04,0.02,17.30,58.98,63.36,7.00
56.47,4.00,0.25,0.25,0.13,15.88,51.37,58.45,7.02
81.28,2.00,0.21,0.21,0.21,14.69,22.10,37.27,8.51
67.78,5.00,0.06,0.06,0.06,9.00,50.91,40.84,5.91
79.36,3.00,0.04,0.04,0.02,16.24,37.04,43.80,7.34
92.77,1.00,0.30,0.30,0.30,8.53,19.75,30.03,8.79
153.25,4.00,0.04,0.04,0.02,11.99,28.16,25.76,7.10
114.54,3.00,0.23,0.23,0.12,11.13,35.62,33.27,7.26
67.17,4.00,0.08,0.08,0.04,15.80,25.73,19.54,7.26
52.85,2.00,0.11,0.11,0.06,12.69,32.43,28.27,7.19
60.88,4.00,0.04,0.04,0.02,12.82,16.27,22.51,7.99
72.78,2.00,0.07,0.07,0.03,9.47,21.18,38.83,11.04
86.60,5.00,0.08,0.08,0.04,8.53,44.51,50.81,7.11
89.55,5.00,0.09,0.09,0.05,14.33,45.86,27.43,7.56
49.56,3.00,0.03,0.03,0.02,14.15,26.18,24.58,7.16
72.65,2.00,0.06,0.06,0.03,10.48,28.14,29.12,9.84
51.49,1.00,0.02,0.02,0.01,15.41,29.24,16.98,6.91
53.25,5.00,0.34,0.34,0.17,9.75,57.80,47.01,8.74
52.85,5.00,0.08,0.08,0.04,9.23,25.34,38.52,7.30
50.33,1.00,0.05,0.05,0.05,9.11,16.44,34.91,6.30
61.49,1.00,0.04,0.04,0.02,13.96,30.36,26.63,10.00
137.93,5.00,0.25,0.25,0.25,9.55,18.46,28.62,8.51
128.13,5.00,0.24,0.24,0.24,9.64,51.16,47.58,5.92
180.83,2.00,0.06,0.06,0.03,16.36,29.05,48.62,9.86
77.03,4.00,0.05,0.05,0.03,15.33,36.23,37.39,6.91
64.16,1.00,0.07,0.07,0.03,9.47,18.73,37.30,7.98
124.73,1.00,0.06,0.06,0.06,8.94,57.05,28.54,5.74
51.37,4.00,0.07,0.07,0.04,8.85,34.52,40.55,7.10
112.06,5.00,0.08,0.08,0.08,10.25,31.04,26.89,5.93
61.47,4.00,0.05,0.05,0.03,11.39,16.44,30.08,11.74
70.28,5.00,0.38,0.38,0.19,9.06,48.00,52.76,6.98
115.89,2.00,0.23,0.23,0.12,11.53,21.00,25.73,12.73
150.70,6.00,0.10,0.10,0.05,13.51,50.57,39.16,7.10
53.25,4.00,0.16,0.16,0.16,11.96,24.48,32.96,8.91
136.64,1.00,0.08,0.08,0.08,11.00,12.80,14.80,6.30
59.46,3.00,0.16,0.16,0.08,13.68,25.62,22.21,10.89
48.63,1.00,0.25,0.25,0.13,10.79,38.09,24.38,8.50
72.61,2.00,0.07,0.07,0.07,11.92,32.47,53.91,5.99
53.25,5.00,0.04,0.04,0.04,15.47,13.87,11.22,6.15
112.07,4.00,0.05,0.05,0.02,11.11,21.22,30.66,10.50
89.33,5.00,0.15,0.15,0.07,15.54,47.82,54.29,9.63
81.07,1.00,0.12,0.12,0.06,11.95,28.86,20.18,9.53
66.62,3.00,0.09,0.09,0.09,12.17,28.04,20.12,5.99
92.79,2.00,0.12,0.12,0.12,13.72,39.71,18.27,5.87
49.81,1.00,0.22,0.22,0.11,17.30,35.40,35.64,6.88
50.17,6.00,0.25,0.25,0.13,10.79,41.52,41.13,6.85
79.58,5.00,0.05,0.05,0.02,11.11,43.23,35.68,11.20
128.30,4.00,0.08,0.08,0.08,13.22,25.49,23.94,5.85
172.66,2.00,0.05,0.05,0.02,11.86,15.98,27.91,9.20
108.68,6.00,0.19,0.19,0.10,12.46,56.87,35.61,6.98
61.49,3.00,0.05,0.05,0.03,10.67,46.83,37.75,7.18
86.51,5.00,0.04,0.04,0.02,12.51,27.40,35.71,7.11
52.46,4.00,0.14,0.14,0.07,10.04,40.92,51.51,7.15
91.61,1.00,0.14,0.14,0.07,15.84,25.43,17.70,7.90
104.80,1.00,0.05,0.05,0.05,9.58,29.31,33.39,5.94
55.35,2.00,0.08,0.08,0.04,8.69,42.95,41.11,7.01
53.40,1.00,0.10,0.10,0.10,16.24,36.88,36.88,5.86
150.50,2.00,0.05,0.05,0.05,9.06,28.10,34.54,6.03
52.17,4.00,0.23,0.23,0.23,9.88,45.75,27.65,5.87
61.68,4.00,0.08,0.08,0.04,15.60,42.16,34.94,6.98
124.73,2.00,0.07,0.07,0.03,9.47,17.24,39.06,9.44
101.39,4.00,0.07,0.07,0.03,16.47,16.54,17.15,11.74
92.99,1.00,0.04,0.04,0.04,10.50,20.27,29.47,8.76
82.96,2.00,0.02,0.02,0.02,15.32,11.65,22.00,7.32
110.90,1.00,0.08,0.08,0.04,8.82,29.50,37.03,12.68
108.65,5.00,0.04,0.04,0.02,12.51,32.14,35.94,7.23
81.26,4.00,0.07,0.07,0.03,9.23,32.74,35.79,11.21
64.73,1.00,0.22,0.22,0.11,16.29,21.31,36.09,11.85
102.23,4.00,0.20,0.20,0.10,13.34,21.91,42.90,8.72
78.03,4.00,0.11,0.11,0.11,11.23,23.03,28.56,8.20
121.52,2.00,0.30,0.30,0.15,9.88,22.31,29.09,11.85
86.22,1.00,0.13,0.13,0.13,12.85,13.30,21.83,9.23
83.92,2.00,0.04,0.04,0.02,12.11,13.15,26.07,12.56
79.22,3.00,0.03,0.03,0.01,14.53,17.09,24.45,12.59
73.15,1.00,0.11,0.11,0.05,12.72,31.87,24.26,9.16
144.56,3.00,0.13,0.13,0.13,10.48,35.44,20.01,6.01
51.00,2.00,0.39,0.39,0.20,8.61,29.23,34.04,9.15
94.93,4.00,0.15,0.15,0.07,11.10,34.23,40.99,7.08
86.05,2.00,0.05,0.05,0.03,10.79,24.26,25.83,12.51
94.04,6.00,0.29,0.29,0.29,8.76,60.38,45.36,5.76
108.97,5.00,0.05,0.05,0.02,11.62,43.11,40.27,7.12
89.92,1.00,0.04,0.04,0.02,12.97,19.92,23.07,8.93
102.23,6.00,0.16,0.16,0.08,14.79,69.68,65.21,6.94
63.62,3.00,0.10,0.10,0.10,11.62,32.67,22.64,5.88
92.77,2.00,0.06,0.06,0.03,10.11,17.79,36.89,10.19
107.48,2.00,0.05,0.05,0.03,10.46,18.86,34.34,10.20
66.57,6.00,0.08,0.08,0.04,8.73,63.75,54.75,7.01
77.43,3.00,0.16,0.16,0.16,9.68,36.85,35.17,5.91
67.17,6.00,0.04,0.04,0.02,17.30,59.79,59.08,6.91
153.77,2.00,0.04,0.04,0.02,11.60,13.62,29.44,11.86
